,model,scaler,R2,RMSE,duration,not null gt,exclude,columns
70,Random Forest,robust,49.0,33.0,4.0,90,all sat data,7
71,Random Forest,robust,47.0,33.0,10.0,90,nothing,42
72,Random Forest,power,46.0,34.0,11.0,20,sat geometry,37
73,Random Forest,power,49.0,33.0,4.0,20,all sat data,7
74,Random Forest,power,51.0,32.0,16.0,20,nothing,68
75,Random Forest,power,46.0,34.0,8.0,80,sat geometry,27
76,Random Forest,power,49.0,33.0,4.0,80,all sat data,7
77,Random Forest,power,51.0,32.0,12.0,80,nothing,50
78,Random Forest,power,41.0,35.0,7.0,90,sat geometry,24
79,Random Forest,power,49.0,33.0,4.0,90,all sat data,7
80,Random Forest,power,48.0,33.0,11.0,90,nothing,42
81,LGBoost,quantile,44.0,34.0,1.0,20,sat geometry,37
82,LGBoost,quantile,26.0,39.0,0.0,20,all sat data,7
83,LGBoost,quantile,50.0,32.0,1.0,20,nothing,68
84,LGBoost,quantile,43.0,35.0,1.0,80,sat geometry,27
85,LGBoost,quantile,26.0,39.0,0.0,80,all sat data,7
86,LGBoost,quantile,51.0,32.0,1.0,80,nothing,50
87,LGBoost,quantile,40.0,35.0,0.0,90,sat geometry,24
88,LGBoost,quantile,26.0,39.0,0.0,90,all sat data,7
89,LGBoost,quantile,46.0,33.0,1.0,90,nothing,42
90,LGBoost,robust,44.0,34.0,1.0,20,sat geometry,37
91,LGBoost,robust,27.0,39.0,0.0,20,all sat data,7
92,LGBoost,robust,51.0,32.0,1.0,20,nothing,68
93,LGBoost,robust,43.0,34.0,0.0,80,sat geometry,27
94,LGBoost,robust,27.0,39.0,0.0,80,all sat data,7
95,LGBoost,robust,51.0,32.0,1.0,80,nothing,50
96,LGBoost,robust,39.0,36.0,0.0,90,sat geometry,24
97,LGBoost,robust,27.0,39.0,0.0,90,all sat data,7
98,LGBoost,robust,47.0,33.0,0.0,90,nothing,42
99,LGBoost,power,43.0,34.0,1.0,20,sat geometry,37
100,LGBoost,power,27.0,39.0,0.0,20,all sat data,7
101,LGBoost,power,51.0,32.0,1.0,20,nothing,68
102,LGBoost,power,43.0,35.0,0.0,80,sat geometry,27
103,LGBoost,power,27.0,39.0,0.0,80,all sat data,7
104,LGBoost,power,50.0,32.0,1.0,80,nothing,50
105,LGBoost,power,42.0,35.0,0.0,90,sat geometry,24
106,LGBoost,power,27.0,39.0,0.0,90,all sat data,7
107,LGBoost,power,47.0,33.0,1.0,90,nothing,42
